country,date,ML,Low_90,High_90
Norway,2020-04-01,0.8302664208124421,0.5326573030563923,1.1235872533875608
Norway,2020-04-02,0.8034826943956813,0.48995488461183573,1.081705950224155
Norway,2020-04-03,0.7420941350171363,0.45350375494022904,1.0271001544517646
Norway,2020-04-04,0.6572834291228375,0.40744150934287704,0.94983105580978
Norway,2020-04-05,0.6044775663637636,0.3511703892577559,0.8649100895515679
Norway,2020-04-06,0.5784424382157164,0.32278931249638215,0.8348789238414146
Norway,2020-04-07,0.5758435606057172,0.3175829246127122,0.8404992023830278
Norway,2020-04-08,0.5857158716078368,0.3038383505418469,0.8414362214224271
Norway,2020-04-09,0.6005020714124081,0.30879853183221995,0.8632344731182673
Norway,2020-04-10,0.6179414937705577,0.3259319774166072,0.9070170251120194
Norway,2020-04-11,0.6401517080014868,0.3319196293739284,0.9250971574520345
Norway,2020-04-12,0.6677742241170005,0.3378570493088014,0.9575559264416726
Norway,2020-04-13,0.7072343922092308,0.3634002602929421,1.0419736404657831
Norway,2020-04-14,0.7406867132715212,0.39236158634617696,1.1069617145654498
Norway,2020-04-15,0.7749014169402257,0.39175719907304807,1.127455790754771
Norway,2020-04-16,0.785974070222549,0.40276933177781393,1.1543523933112734
Norway,2020-04-17,0.7826440712954548,0.400505448047221,1.1331428059077646
Norway,2020-04-18,0.7734390865033681,0.4315013410995763,1.164216057588147
Norway,2020-04-19,0.7630928839732036,0.4000330132930195,1.1311251097297759
Norway,2020-04-20,0.7616290261760137,0.3835423743533725,1.1152415542972767
Norway,2020-04-21,0.7742068365619047,0.3546261900170443,1.1391426664700286
Norway,2020-04-22,0.7817942171094919,0.35322365183331733,1.1942591189228513
Norway,2020-04-23,0.8038093061959156,0.3201092410636572,1.2637858693082196
Norway,2020-04-24,0.8233290297968305,0.26816605319454906,1.311494476820878
Poland,2020-03-15,1.7773353029274057,1.1700995246715444,2.3869007503782207
Poland,2020-03-16,1.7698245461766962,1.2078438709418027,2.3651661074705794
Poland,2020-03-17,1.7553163179717248,1.1829685253793782,2.285522374825083
Poland,2020-03-18,1.7403623727726165,1.1728221162321664,2.219412540190696
